question_id,row_id,main_table_name,fhir_resource,gcp_fhir_resource,table_id,fhir_id,check_fhir_id
5f4091b20b6ccfd4e72a8f1f,patients_39,patients,Patient,Patient,10018328,71a27b6b-5e41-509f-83a8-8f47e8fb8d78,1.0
d83e90e0fe19b6017850565d,patients_37,patients,Patient,Patient,10020306,27980ad8-77b7-5360-b211-bf4fac9c468c,1.0
989ff39a5fc2d15ff9d12bef,patients_15,patients,Patient,Patient,10007928,74a2fd87-885b-5eca-9f8b-9141915dba51,1.0
28b46c82ec1854678938782d,patients_10,patients,Patient,Patient,10014078,807d2a03-9c57-55e3-a443-09fc8f1de866,1.0
7151c86b2f910d26891150a0,patients_87,patients,Patient,Patient,10026354,c3412a5f-f8b9-57d2-9c70-53e3e40c91f0,1.0
0d68d613cbc5bfb69833795a,patients_76,patients,Patient,Patient,10026406,de33a447-3c7f-541d-be72-a744dadcbbac,1.0
44b000c0c7e63ce369e8fcb0,patients_22,patients,Patient,Patient,10039997,b9a9ae7b-2455-59fe-938d-ce19ef360dd1,1.0
e3732452c0c7cbd80082d35c,patients_38,patients,Patient,Patient,10023239,bc2a74ce-4069-5983-9423-1c175f7854d9,1.0
669a0b2733d0accec1a73720,patients_92,patients,Patient,Patient,10015931,f5a99b42-365c-5f7e-bcab-4fa33b3cc88e,1.0
ae00fe5dbb359a903185aab9,patients_20,patients,Patient,Patient,10031757,3bbb6aec-41a3-5825-b6cf-422832002f96,1.0
35ed250e4f509e49e30cba17,patients_17,patients,Patient,Patient,10002930,a5d4cb17-db8d-574b-bd88-71473088fd9a,1.0
a087cf65a777e7f24185f1a9,patients_91,patients,Patient,Patient,10009049,735c5ea5-a995-5613-9c30-5421bcc2cf25,1.0
acb8470937bc4a7d0d9b622d,patients_19,patients,Patient,Patient,10027602,e2beb281-c44f-579b-8211-a3749c549e92,1.0
f96633ec8fc87fce8f72854a,patients_40,patients,Patient,Patient,10008287,5ddeb201-5de6-5177-a116-fa82ce8ad2f2,1.0
bb0544fc1cbc2ba271291243,patients_37,patients,Patient,Patient,10020306,27980ad8-77b7-5360-b211-bf4fac9c468c,1.0
8521d760a18e114ce1c608b3,patients_22,patients,Patient,Patient,10039997,b9a9ae7b-2455-59fe-938d-ce19ef360dd1,1.0
ee69065549df2afefab7aae1,patients_39,patients,Patient,Patient,10018328,71a27b6b-5e41-509f-83a8-8f47e8fb8d78,1.0
f370a107576540264d73906f,patients_92,patients,Patient,Patient,10015931,f5a99b42-365c-5f7e-bcab-4fa33b3cc88e,1.0
cbcc848bf46b8605d7a0735d,patients_4,patients,Patient,Patient,10027445,73eac996-32e6-5b25-96fb-7d7414180af9,1.0
63d12a773f7455c04714cb1e,patients_27,patients,Patient,Patient,10005909,158f3a39-e3d7-5e7a-93aa-57af894aadd9,1.0
6fd61e60148bb599c1a2a048,patients_65,patients,Patient,Patient,10009035,2edf1f64-2919-50e3-b98c-7a55dcfda00d,1.0
dd2de211b42f9be113f51d60,patients_84,patients,Patient,Patient,10020944,a87c1099-8c87-5548-8fc0-56972a82cebf,1.0
83d85a4fb249a66c71ea4700,patients_95,patients,Patient,Patient,10004733,8d7b633e-0f92-5448-a56d-36c69210e860,1.0
61d45a73e8a0469f9bf963be,patients_84,patients,Patient,Patient,10020944,a87c1099-8c87-5548-8fc0-56972a82cebf,1.0
6b992edeff1d490c7c58f9d0,patients_13,patients,Patient,Patient,10019172,76202c51-1b9d-5cc2-a7bc-3dfb2ac3ab32,1.0
a96ef9e34778c695552e52c6,patients_18,patients,Patient,Patient,10010471,df756e08-6ea8-5d69-b918-67911945f827,1.0
db408655e01275e4bcc8c7bc,patients_48,patients,Patient,Patient,10021666,22a3e422-663a-561c-b305-a0c04bf42235,1.0
243503fcb552e825a3b62d0c,patients_49,patients,Patient,Patient,10018423,bbad4581-d089-54a7-b7a0-8d986c5fb5ec,1.0
a6b419a3f82d564950633030,patients_21,patients,Patient,Patient,10016742,2955c958-192a-50eb-b59d-23a29d7d374e,1.0
7d7aee677bb35ba8d39e2a8e,patients_71,patients,Patient,Patient,10022880,13df78e7-150e-5eb7-be5f-5f62b2baee87,1.0
47bcce86f3ab85e1c0edd92a,,labevents,,,,,
484f6763a7263dfc6dd3843b,,labevents,,,,,
